GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
0.25,0.429,0.444,0.471,0.565,0.375,0.6,0.25,0.3
0.417,0.5,0.5,0.5,0.611,0.412,0.385,0.167,0.091
0.5,0.571,0.35,0.471,0.588,0.316,0.211,1.0,0.133
0.467,0.333,0.5,0.158,0.5,0.45,0.346,0.696,0.067
0.333,0.455,0.938,0.24,0.682,0.647,0.2,0.6,0.1
0.615,0.125,0.706,0.214,0.2,0.857,0.412,0.222,0.833
0.381,0.0,0.9,0.304,0.45,0.318,0.259,0.0,0.364
0.778,0.52,1.0,0.176,0.25,0.5,0.062,0.4,0.071
0.385,0.875,0.16,0.2,0.133,0.444,0.154,0.75,0.45
0.526,0.353,0.65,0.167,0.588,0.273,0.6,0.118,0.294
0.5,0.133,0.562,0.118,0.364,0.5,0.167,0.222,0.381
0.381,0.357,0.353,0.25,0.478,0.909,0.143,0.333,0.562
0.45,0.235,0.556,0.364,0.9,0.75,0.222,0.615,0.875
0.375,0.231,0.3,0.571,0.938,0.9,0.0,0.105,0.286
0.353,0.308,0.941,0.227,0.8,0.333,0.444,0.333,0.045
0.5,0.273,0.682,0.273,0.636,0.5,0.455,0.267,0.632
0.625,0.5,0.062,0.067,0.375,0.167,0.706,0.6,0.429
0.524,0.588,0.65,0.538,0.591,0.556,0.333,0.0,0.4
0.333,0.833,0.667,0.2,0.417,0.526,0.476,0.409,0.5
0.6,0.556,0.714,0.474,0.632,0.786,0.391,0.0,0.312
0.214,0.316,0.684,0.421,0.538,0.333,0.833,0.318,0.167
0.235,0.2,0.688,0.895,0.217,0.824,0.364,0.278,0.579
0.176,0.133,0.619,0.0,0.474,0.158,0.192,0.067,0.375
0.5,0.357,0.533,0.577,0.438,0.5,0.261,0.261,0.273
0.385,0.5,0.667,0.5,0.556,0.286,0.478,0.579,0.286
0.529,0.5,0.556,0.357,0.7,0.312,0.071,0.857,0.5
0.316,0.333,0.556,0.6,0.188,0.556,0.125,0.125,0.529
0.467,0.261,0.857,0.067,0.5,0.647,0.182,1.0,0.385
0.167,0.417,0.458,0.692,0.471,0.294,0.3,0.25,0.2
0.4,0.421,0.867,0.429,0.632,0.619,0.364,0.6,0.462
0.8,0.267,0.471,0.167,0.455,0.778,0.1,0.85,0.222
0.429,1.0,0.588,0.25,0.765,0.375,0.182,0.786,0.667
0.7,0.25,0.6,0.375,0.391,0.294,0.125,0.333,0.364
0.364,0.571,0.556,0.48,0.68,0.933,0.333,0.5,0.35
0.6,0.857,0.5,0.357,0.636,0.5,0.308,0.6,0.2
0.389,0.091,0.143,0.5,0.684,0.619,0.16,0.15,0.65
0.727,0.333,0.5,0.632,0.529,0.8,0.227,0.4,0.412
0.714,0.444,0.368,0.304,0.625,0.261,0.129,0.25,0.192
0.462,0.368,0.864,0.5,0.765,0.474,0.464,0.444,0.647
0.421,0.75,0.348,0.737,0.941,0.4,0.238,0.0,0.455
