GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
31.652,18.0,56.862,51.543,69.214,48.571,67.2,8.0,124.483
28.0,14.0,49.444,33.833,59.538,69.333,52.0,31.059,84.8
23.048,28.0,9.0,38.636,40.114,14.0,38.976,8.0,42.0
12.0,32.0,77.903,39.652,8.0,9.0,20.0,14.0,24.0
27.789,0.0,43.643,60.0,80.103,19.765,20.0,27.0,53.565
29.053,16.0,32.148,21.0,84.459,29.897,17.0,23.1,71.867
69.222,46.48,80.5,11.0,46.667,66.353,47.211,34.375,40.114
47.484,24.0,34.0,34.0,74.516,49.091,23.0,61.379,18.0
29.867,14.0,62.0,36.667,42.852,19.5,61.333,7.0,15.0
20.0,29.333,28.696,17.0,36.741,48.632,5.0,10.0,17.0
49.391,11.0,73.5,56.0,66.0,81.778,52.222,55.647,19.0
65.8,12.0,59.455,36.0,73.333,56.222,46.345,53.576,0.0
56.452,52.895,58.966,13.0,44.571,65.52,60.941,5.0,40.909
38.25,36.0,18.0,22.0,44.522,37.12,52.8,64.211,52.0
25.043,11.0,86.27,55.714,77.0,32.667,21.0,54.412,104.273
43.2,15.0,48.176,44.348,43.952,36.741,26.231,136.258,63.6
51.2,18.0,45.854,18.0,10.0,31.5,21.0,18.0,49.0
47.5,24.0,32.242,26.714,75.25,27.429,10.0,82.182,16.0
35.765,0.0,32.0,38.0,80.667,59.538,55.111,7.0,24.2
49.684,24.0,12.0,48.0,64.238,48.562,142.4,45.391,77.214
38.118,28.0,28.0,18.0,3.0,6.0,16.0,90.588,0.0
24.444,26.0,81.172,65.655,66.172,49.28,50.718,35.0,14.0
26.667,11.0,56.727,22.0,87.741,51.034,20.0,13.333,12.0
30.0,28.769,45.333,24.545,55.2,48.059,36.0,17.0,87.353
53.957,28.0,28.0,21.0,20.0,50.4,29.0,21.273,20.0
57.273,34.0,62.0,72.769,58.933,51.111,89.757,17.0,42.0
63.909,22.0,40.696,20.0,45.824,40.714,45.517,13.0,46.429
40.0,46.667,36.0,22.0,20.0,21.387,13.0,13.125,24.588
34.0,9.0,58.323,12.609,92.857,16.0,32.0,21.0,12.0
30.947,6.0,46.516,18.0,18.0,40.296,13.0,55.952,65.765
35.36,31.294,35.84,11.0,55.0,76.667,60.931,17.0,28.364
48.158,18.0,25.143,16.0,68.276,17.0,110.647,60.0,24.0
40.238,22.0,53.565,49.5,22.0,58.545,28.0,0.0,19.0
39.13,66.667,49.6,142.0,20.0,59.2,47.793,0.0,50.625
31.2,32.067,62.69,11.0,70.875,28.138,51.897,70.714,97.043
44.947,24.0,76.732,73.895,38.857,72.769,20.0,29.545,64.941
31.2,20.0,56.913,88.148,68.276,39.913,13.0,6.0,50.783
50.56,33.312,65.312,49.867,73.04,50.588,13.448,58.0,65.217
48.158,40.571,50.875,11.0,52.0,58.5,58.378,38.636,15.0
36.72,33.0,17.0,46.0,28.0,40.114,28.364,13.846,9.6
78.857,51.692,78.684,34.0,75.571,48.222,12.0,9.0,63.333
27.625,8.0,24.0,17.0,68.889,37.826,11.0,9.0,50.0
32.842,6.0,19.0,17.0,23.0,42.667,64.865,43.75,103.629
16.435,0.0,18.0,46.0,11.0,55.0,27.0,0.0,20.0
35.84,67.941,60.379,50.6,61.826,36.429,17.0,16.0,72.172
60.8,13.0,63.692,79.286,51.857,44.552,17.0,2.0,4.0
55.714,37.19,99.0,9.0,56.484,16.0,14.0,64.96,42.105
14.0,32.0,61.552,46.0,51.0,73.333,48.889,12.0,34.762
48.75,33.524,12.0,20.0,80.357,38.4,75.0,62.4,46.071
44.786,11.0,26.0,46.941,18.0,37.4,55.882,76.419,62.0
37.4,14.0,18.0,73.586,50.172,14.0,37.4,39.6,26.0
46.941,8.0,9.0,51.75,12.0,42.75,53.263,48.696,38.0
36.0,12.0,34.462,51.692,19.0,28.0,10.0,75.815,25.0
44.333,22.0,43.871,57.143,77.0,56.138,88.541,41.053,24.0
22.0,56.037,24.0,38.0,69.143,19.148,32.0,33.0,39.027
69.0,31.263,52.114,11.0,55.529,58.0,37.895,23.0,134.0
68.04,35.455,28.0,86.857,37.333,13.0,21.0,78.857,16.0
42.071,14.0,66.414,40.0,44.652,38.154,45.76,64.444,67.273
40.444,26.0,47.6,11.0,68.485,60.966,30.0,81.29,87.429
35.2,7.0,71.111,40.8,87.903,27.686,40.8,18.0,50.471
11.0,14.0,73.846,16.0,8.0,12.0,54.0,10.0,73.182
26.0,52.0,82.839,29.474,63.909,45.529,82.457,18.0,61.379
50.69,3.0,40.182,20.0,71.867,14.0,67.8,57.13,19.0
15.364,32.0,30.25,7.0,75.167,50.37,31.0,77.703,13.0
17.0,60.0,78.857,75.9,43.067,30.074,35.217,55.314,45.467
20.571,53.333,45.231,43.429,72.414,15.0,60.714,20.0,66.529
29.4,5.0,27.182,50.129,49.286,13.0,46.667,0.0,83.455
64.238,14.0,65.636,48.0,26.0,12.0,58.5,43.556,99.474
25.5,20.267,76.622,58.667,15.0,13.0,89.304,49.5,65.714
34.909,40.174,56.828,17.0,56.667,18.0,75.444,63.0,72.681
36.0,39.231,52.8,28.069,66.852,43.333,67.846,29.647,24.0
31.364,6.0,75.273,121.326,117.684,41.083,47.25,68.667,60.0
31.294,14.0,70.909,58.5,28.0,44.0,72.054,121.935,60.081
7.857,40.238,47.222,53.143,20.0,59.538,37.926,8.556,49.231
48.333,67.571,10.0,60.343,28.0,12.0,22.0,86.786,40.966
13.636,8.0,41.143,37.818,16.0,16.0,109.44,18.065,13.0
34.737,26.0,53.517,16.0,59.538,13.0,72.081,45.333,38.0
27.238,16.0,30.0,57.143,45.862,52.08,89.6,97.576,53.0
50.077,8.0,49.077,21.913,53.333,21.32,66.0,42.824,16.0
40.8,24.0,63.0,20.0,68.0,38.0,28.0,23.4,13.0
47.727,69.774,78.273,44.129,34.0,12.0,50.526,25.0,36.125
41.143,64.826,37.4,65.0,29.852,51.2,93.677,54.08,36.0
42.429,4.0,60.207,11.0,36.034,21.207,65.956,59.259,17.0
60.304,0.0,26.0,75.556,67.407,43.636,17.0,44.929,71.5
52.259,16.8,96.571,18.0,59.294,44.0,22.0,101.333,26.4
44.609,4.0,21.0,44.0,70.303,33.6,12.0,83.943,88.793
45.5,24.0,28.138,34.0,110.4,16.0,22.0,59.871,7.0
37.333,16.0,42.353,52.0,47.04,34.138,50.6,18.0,42.222
54.091,13.0,75.103,12.0,5.0,7.0,18.0,12.0,62.471
42.9,6.0,36.324,24.0,48.0,47.478,46.452,18.0,0.0
26.4,26.0,69.143,22.0,49.565,18.04,39.44,61.385,6.0
17.778,42.25,59.207,14.0,54.353,53.586,66.818,11.0,46.308
20.118,9.0,75.565,32.421,73.846,13.0,66.054,0.0,108.8
